# iteration    r (m)    potential (V)
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03              0
         1        -0.0297       -9.87818
         1        -0.0294        -30.219
         1        -0.0291       -50.8124
         1        -0.0288       -71.5876
         1        -0.0285       -92.5103
         1        -0.0282       -113.554
         1        -0.0279       -134.692
         1        -0.0276       -155.894
         1        -0.0273       -177.128
         1         -0.027       -198.352
         1        -0.0267       -219.521
         1        -0.0264        -240.58
         1        -0.0261       -261.463
         1        -0.0258       -282.091
         1        -0.0255       -302.371
         1        -0.0252       -322.189
         1        -0.0249       -341.406
         1        -0.0246       -359.856
         1        -0.0243       -377.333
         1         -0.024       -393.581
         1        -0.0237       -408.283
         1        -0.0234       -421.039
         1        -0.0231       -431.338
         1        -0.0228       -438.518
         1        -0.0225       -441.709
         1        -0.0222       -439.743
         1        -0.0219       -431.005
         1        -0.0216       -413.202
         1        -0.0213       -382.939
         1         -0.021       -334.934
         1        -0.0207       -260.439
         1        -0.0204        -143.74
         1        -0.0201              0
         1        -0.0198              0
         1        -0.0195              0
         1        -0.0192       -45.7277
         1        -0.0189       -456.155
         1        -0.0186       -772.689
         1        -0.0183       -1040.36
         1         -0.018       -1280.05
         1        -0.0177        -1502.8
         1        -0.0174       -1715.14
         1        -0.0171       -1921.27
         1        -0.0168        -2124.1
         1        -0.0165       -2325.77
         1        -0.0162       -2527.94
         1        -0.0159       -2731.95
         1        -0.0156       -2938.95
         1        -0.0153       -3149.96
         1         -0.015       -3365.91
         1        -0.0147       -3587.66
         1        -0.0144       -3816.07
         1        -0.0141       -4051.97
         1        -0.0138       -4296.21
         1        -0.0135       -4549.67
         1        -0.0132       -4813.25
         1        -0.0129       -5087.91
         1        -0.0126       -5374.67
         1        -0.0123       -5674.65
         1         -0.012       -5989.02
         1        -0.0117       -6319.11
         1        -0.0114       -6666.34
         1        -0.0111       -7032.32
         1        -0.0108       -7418.82
         1        -0.0105       -7827.83
         1        -0.0102       -8261.63
         1        -0.0099       -8722.78
         1        -0.0096       -9214.21
         1        -0.0093       -9739.34
         1         -0.009       -10302.1
         1        -0.0087       -10907.2
         1        -0.0084       -11560.1
         1        -0.0081       -12267.4
         1        -0.0078       -13037.3
         1        -0.0075       -13879.6
         1        -0.0072       -14806.9
         1        -0.0069       -15835.2
         1        -0.0066       -16985.6
         1        -0.0063         -18287
         1         -0.006       -19780.4
         1        -0.0057         -21529
         1        -0.0054       -23645.8
         1        -0.0051         -25000
         1        -0.0048         -25000
         1        -0.0045         -25000
         1        -0.0042       -24944.6
         1        -0.0039       -24580.4
         1        -0.0036         -24270
         1        -0.0033       -24013.3
         1         -0.003       -23806.9
         1        -0.0027       -23645.5
         1        -0.0024         -23523
         1        -0.0021       -23433.5
         1        -0.0018       -23370.8
         1        -0.0015       -23329.7
         1        -0.0012       -23304.8
         1        -0.0009       -23291.5
         1        -0.0006       -23285.7
         1        -0.0003         -23284
         1              0         -23284
         1         0.0003       -23284.2
         1         0.0006       -23284.2
         1         0.0009       -23284.8
         1         0.0012       -23287.7
         1         0.0015       -23295.8
         1         0.0018       -23312.6
         1         0.0021       -23342.5
         1         0.0024       -23390.3
         1         0.0027       -23461.3
         1          0.003       -23561.1
         1         0.0033       -23695.7
         1         0.0036       -23871.1
         1         0.0039       -24093.3
         1         0.0042         -24367
         1         0.0045       -24694.6
         1         0.0048         -25000
         1         0.0051         -25000
         1         0.0054         -25000
         1         0.0057         -25000
         1          0.006       -22909.5
