# iteration    r (m)    potential (V)
         1        -0.0315       -922.781
         1        -0.0312       -923.237
         1        -0.0309       -924.608
         1        -0.0306       -926.898
         1        -0.0303       -930.112
         1          -0.03       -934.261
         1        -0.0297       -939.356
         1        -0.0294       -945.411
         1        -0.0291       -952.446
         1        -0.0288       -960.479
         1        -0.0285       -969.535
         1        -0.0282        -979.64
         1        -0.0279       -990.825
         1        -0.0276       -1003.12
         1        -0.0273       -1016.57
         1         -0.027       -1031.22
         1        -0.0267       -1047.09
         1        -0.0264       -1064.26
         1        -0.0261       -1082.77
         1        -0.0258       -1102.68
         1        -0.0255       -1124.06
         1        -0.0252       -1146.97
         1        -0.0249       -1171.49
         1        -0.0246        -1197.7
         1        -0.0243        -1225.7
         1         -0.024       -1255.56
         1        -0.0237       -1287.41
         1        -0.0234       -1321.34
         1        -0.0231       -1357.46
         1        -0.0228       -1395.92
         1        -0.0225       -1436.83
         1        -0.0222       -1480.35
         1        -0.0219       -1526.61
         1        -0.0216       -1575.78
         1        -0.0213       -1628.02
         1         -0.021       -1683.51
         1        -0.0207       -1742.45
         1        -0.0204       -1805.02
         1        -0.0201       -1871.42
         1        -0.0198       -1941.89
         1        -0.0195       -2016.62
         1        -0.0192       -2095.87
         1        -0.0189       -2179.87
         1        -0.0186       -2268.88
         1        -0.0183       -2363.15
         1         -0.018       -2462.96
         1        -0.0177       -2568.58
         1        -0.0174       -2680.32
         1        -0.0171       -2798.47
         1        -0.0168       -2923.35
         1        -0.0165        -3055.3
         1        -0.0162       -3194.65
         1        -0.0159       -3341.77
         1        -0.0156       -3497.05
         1        -0.0153       -3660.89
         1         -0.015       -3833.73
         1        -0.0147       -4016.02
         1        -0.0144       -4208.28
         1        -0.0141       -4411.04
         1        -0.0138       -4624.88
         1        -0.0135       -4850.45
         1        -0.0132       -5088.45
         1        -0.0129       -5339.64
         1        -0.0126       -5604.89
         1        -0.0123       -5885.12
         1         -0.012       -6181.39
         1        -0.0117       -6494.88
         1        -0.0114       -6826.89
         1        -0.0111        -7178.9
         1        -0.0108       -7552.59
         1        -0.0105       -7949.85
         1        -0.0102       -8372.84
         1        -0.0099       -8824.04
         1        -0.0096       -9306.32
         1        -0.0093          -9823
         1         -0.009         -10378
         1        -0.0087       -10975.8
         1        -0.0084       -11621.9
         1        -0.0081       -12322.9
         1        -0.0078       -13086.8
         1        -0.0075       -13923.4
         1        -0.0072       -14845.3
         1        -0.0069       -15868.2
         1        -0.0066       -17013.4
         1        -0.0063       -18309.5
         1         -0.006       -19797.4
         1        -0.0057         -21540
         1        -0.0054         -23650
         1        -0.0051         -25000
         1        -0.0048         -25000
         1        -0.0045         -25000
