# iteration    r (m)    potential (V)
         1         -0.048              0
         1        -0.0477              0
         1        -0.0474              0
         1        -0.0471              0
         1        -0.0468              0
         1        -0.0465              0
         1        -0.0462              0
         1        -0.0459              0
         1        -0.0456              0
         1        -0.0453              0
         1         -0.045              0
         1        -0.0447              0
         1        -0.0444              0
         1        -0.0441              0
         1        -0.0438              0
         1        -0.0435              0
         1        -0.0432              0
         1        -0.0429              0
         1        -0.0426              0
         1        -0.0423              0
         1         -0.042              0
         1        -0.0417              0
         1        -0.0414              0
         1        -0.0411              0
         1        -0.0408              0
         1        -0.0405              0
         1        -0.0402              0
         1        -0.0399              0
         1        -0.0396              0
         1        -0.0393              0
         1         -0.039              0
         1        -0.0387              0
         1        -0.0384              0
         1        -0.0381              0
         1        -0.0378              0
         1        -0.0375              0
         1        -0.0372              0
         1        -0.0369              0
         1        -0.0366              0
         1        -0.0363              0
         1         -0.036              0
         1        -0.0357              0
         1        -0.0354              0
         1        -0.0351              0
         1        -0.0348              0
         1        -0.0345              0
         1        -0.0342              0
         1        -0.0339              0
         1        -0.0336              0
         1        -0.0333              0
         1         -0.033              0
         1        -0.0327              0
         1        -0.0324              0
         1        -0.0321              0
         1        -0.0318              0
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03       -1.98891
         1        -0.0297       -8.44695
         1        -0.0294       -14.9694
         1        -0.0291        -21.563
         1        -0.0288       -28.2359
         1        -0.0285        -34.997
         1        -0.0282       -41.8564
         1        -0.0279       -48.8243
         1        -0.0276       -55.9118
         1        -0.0273       -63.1304
         1         -0.027       -70.4925
         1        -0.0267       -78.0111
         1        -0.0264       -85.7001
         1        -0.0261       -93.5741
         1        -0.0258       -101.649
         1        -0.0255       -109.941
         1        -0.0252       -118.467
         1        -0.0249       -127.247
         1        -0.0246       -136.299
         1        -0.0243       -145.645
         1         -0.024       -155.306
         1        -0.0237       -165.305
         1        -0.0234       -175.667
         1        -0.0231       -186.417
         1        -0.0228       -197.583
         1        -0.0225       -209.194
         1        -0.0222        -221.28
         1        -0.0219       -233.876
         1        -0.0216       -247.014
         1        -0.0213       -260.731
         1         -0.021       -275.065
         1        -0.0207       -290.055
         1        -0.0204       -305.744
         1        -0.0201       -322.174
         1        -0.0198       -339.389
         1        -0.0195       -357.438
         1        -0.0192       -376.368
         1        -0.0189        -396.23
         1        -0.0186       -417.077
         1        -0.0183       -438.964
         1         -0.018       -461.946
         1        -0.0177       -486.082
         1        -0.0174       -511.435
         1        -0.0171       -538.066
         1        -0.0168       -566.044
         1        -0.0165       -595.436
         1        -0.0162       -626.316
         1        -0.0159       -658.761
         1        -0.0156       -692.851
         1        -0.0153       -728.673
         1         -0.015       -766.319
         1        -0.0147       -805.889
         1        -0.0144        -847.49
         1        -0.0141       -891.239
         1        -0.0138       -937.262
         1        -0.0135       -985.698
         1        -0.0132        -1036.7
         1        -0.0129       -1090.43
         1        -0.0126       -1147.09
         1        -0.0123       -1206.87
         1         -0.012       -1270.01
         1        -0.0117       -1336.76
         1        -0.0114       -1407.42
         1        -0.0111       -1482.31
         1        -0.0108        -1561.8
         1        -0.0105       -1646.32
         1        -0.0102       -1736.35
         1        -0.0099       -1832.45
         1        -0.0096       -1935.26
         1        -0.0093       -2045.54
         1         -0.009       -2164.17
         1        -0.0087       -2292.21
         1        -0.0084       -2430.93
         1        -0.0081       -2581.85
         1        -0.0078       -2746.86
         1        -0.0075       -2928.33
         1        -0.0072       -3129.28
         1        -0.0069       -3353.61
         1        -0.0066       -3606.57
         1        -0.0063       -3895.23
         1         -0.006       -4228.86
         1        -0.0057       -4616.24
         1        -0.0054          -5000
         1        -0.0051          -5000
         1        -0.0048          -5000
         1        -0.0045       -4991.61
         1        -0.0042       -4923.63
         1        -0.0039       -4861.09
         1        -0.0036       -4808.49
         1        -0.0033       -4765.95
         1         -0.003       -4732.55
         1        -0.0027        -4707.1
         1        -0.0024       -4688.39
         1        -0.0021       -4675.25
         1        -0.0018       -4666.55
         1        -0.0015       -4661.26
         1        -0.0012        -4658.4
         1        -0.0009       -4657.14
         1        -0.0006       -4656.78
         1        -0.0003       -4656.79
         1              0       -4656.82
         1         0.0003       -4656.78
         1         0.0006       -4656.78
         1         0.0009       -4657.14
         1         0.0012       -4658.39
         1         0.0015       -4661.25
         1         0.0018       -4666.54
         1         0.0021       -4675.23
         1         0.0024       -4688.37
         1         0.0027       -4707.07
         1          0.003       -4732.51
         1         0.0033        -4765.9
         1         0.0036       -4808.44
         1         0.0039       -4861.03
         1         0.0042       -4923.57
         1         0.0045       -4991.56
         1         0.0048          -5000
         1         0.0051          -5000
         1         0.0054          -5000
         1         0.0057       -4616.87
         1          0.006       -4229.33
         1         0.0063       -3895.69
         1         0.0066       -3607.05
         1         0.0069       -3354.11
         1         0.0072       -3129.79
         1         0.0075       -2928.87
         1         0.0078       -2747.43
         1         0.0081       -2582.45
         1         0.0084       -2431.57
         1         0.0087       -2292.91
         1          0.009       -2164.92
         1         0.0093       -2046.34
         1         0.0096       -1936.13
         1         0.0099       -1833.39
         1         0.0102       -1737.36
         1         0.0105       -1647.41
         1         0.0108       -1562.98
         1         0.0111       -1483.57
         1         0.0114       -1408.77
         1         0.0117       -1338.21
         1          0.012       -1271.55
         1         0.0123       -1208.52
         1         0.0126       -1148.84
         1         0.0129       -1092.28
         1         0.0132       -1038.65
         1         0.0135       -987.748
         1         0.0138        -939.41
         1         0.0141       -893.483
         1         0.0144       -849.826
         1         0.0147       -808.311
         1          0.015       -768.821
         1         0.0153       -731.249
         1         0.0156       -695.493
         1         0.0159       -661.461
         1         0.0162       -629.065
         1         0.0165       -598.225
         1         0.0168       -568.863
         1         0.0171       -540.905
         1         0.0174       -514.283
         1         0.0177       -488.929
         1          0.018       -464.781
         1         0.0183       -441.778
         1         0.0186       -419.861
         1         0.0189       -398.975
         1         0.0192       -379.064
         1         0.0195       -360.078
         1         0.0198       -341.967
         1         0.0201       -324.683
         1         0.0204       -308.179
         1         0.0207       -292.412
         1          0.021       -277.339
         1         0.0213        -262.92
         1         0.0216       -249.115
         1         0.0219       -235.888
         1         0.0222       -223.202
         1         0.0225       -211.025
         1         0.0228       -199.323
         1         0.0231       -188.067
         1         0.0234       -177.228
         1         0.0237       -166.778
         1          0.024       -156.692
         1         0.0243       -146.946
         1         0.0246       -137.516
         1         0.0249       -128.382
         1         0.0252       -119.523
         1         0.0255       -110.919
         1         0.0258       -102.551
         1         0.0261       -94.4027
         1         0.0264        -86.457
         1         0.0267       -78.6982
         1          0.027       -71.1116
         1         0.0273       -63.6832
         1         0.0276          -56.4
         1         0.0279       -49.2494
         1         0.0282       -42.2199
         1         0.0285       -35.3002
         1         0.0288       -28.4799
         1         0.0291        -21.749
         1         0.0294       -15.0983
         1         0.0297       -8.51958
         1           0.03       -2.00599
         1         0.0303              0
         1         0.0306              0
         1         0.0309              0
         1         0.0312              0
         1         0.0315              0
         1         0.0318              0
         1         0.0321              0
         1         0.0324              0
         1         0.0327              0
         1          0.033              0
         1         0.0333              0
         1         0.0336              0
         1         0.0339              0
         1         0.0342              0
         1         0.0345              0
         1         0.0348              0
         1         0.0351              0
         1         0.0354              0
         1         0.0357              0
         1          0.036              0
         1         0.0363              0
         1         0.0366              0
         1         0.0369              0
         1         0.0372              0
         1         0.0375              0
         1         0.0378              0
         1         0.0381              0
         1         0.0384              0
         1         0.0387              0
         1          0.039              0
         1         0.0393              0
         1         0.0396              0
         1         0.0399              0
         1         0.0402              0
         1         0.0405              0
         1         0.0408              0
         1         0.0411              0
         1         0.0414              0
         1         0.0417              0
         1          0.042              0
         1         0.0423              0
         1         0.0426              0
         1         0.0429              0
         1         0.0432              0
         1         0.0435              0
         1         0.0438              0
         1         0.0441              0
         1         0.0444              0
         1         0.0447              0
         1          0.045              0
         1         0.0453              0
         1         0.0456              0
         1         0.0459              0
         1         0.0462              0
         1         0.0465              0
         1         0.0468              0
         1         0.0471              0
         1         0.0474              0
         1         0.0477              0
         2         -0.048              0
         2        -0.0477              0
         2        -0.0474              0
         2        -0.0471              0
         2        -0.0468              0
         2        -0.0465              0
         2        -0.0462              0
         2        -0.0459              0
         2        -0.0456              0
         2        -0.0453              0
         2         -0.045              0
         2        -0.0447              0
         2        -0.0444              0
         2        -0.0441              0
         2        -0.0438              0
         2        -0.0435              0
         2        -0.0432              0
         2        -0.0429              0
         2        -0.0426              0
         2        -0.0423              0
         2         -0.042              0
         2        -0.0417              0
         2        -0.0414              0
         2        -0.0411              0
         2        -0.0408              0
         2        -0.0405              0
         2        -0.0402              0
         2        -0.0399              0
         2        -0.0396              0
         2        -0.0393              0
         2         -0.039              0
         2        -0.0387              0
         2        -0.0384              0
         2        -0.0381              0
         2        -0.0378              0
         2        -0.0375              0
         2        -0.0372              0
         2        -0.0369              0
         2        -0.0366              0
         2        -0.0363              0
         2         -0.036              0
         2        -0.0357              0
         2        -0.0354              0
         2        -0.0351              0
         2        -0.0348              0
         2        -0.0345              0
         2        -0.0342              0
         2        -0.0339              0
         2        -0.0336              0
         2        -0.0333              0
         2         -0.033              0
         2        -0.0327              0
         2        -0.0324              0
         2        -0.0321              0
         2        -0.0318              0
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03       -1.76388
         2        -0.0297        -7.4913
         2        -0.0294       -13.2761
         2        -0.0291       -19.1243
         2        -0.0288       -25.0435
         2        -0.0285       -31.0421
         2        -0.0282       -37.1293
         2        -0.0279       -43.3148
         2        -0.0276        -49.609
         2        -0.0273       -56.0227
         2         -0.027       -62.5676
         2        -0.0267        -69.256
         2        -0.0264       -76.1004
         2        -0.0261       -83.1149
         2        -0.0258       -90.3141
         2        -0.0255       -97.7126
         2        -0.0252       -105.327
         2        -0.0249       -113.174
         2        -0.0246       -121.274
         2        -0.0243       -129.645
         2         -0.024       -138.308
         2        -0.0237       -147.285
         2        -0.0234       -156.598
         2        -0.0231       -166.275
         2        -0.0228        -176.34
         2        -0.0225       -186.822
         2        -0.0222       -197.752
         2        -0.0219       -209.161
         2        -0.0216       -221.086
         2        -0.0213       -233.564
         2         -0.021       -246.632
         2        -0.0207       -260.327
         2        -0.0204       -274.688
         2        -0.0201       -289.755
         2        -0.0198       -305.628
         2        -0.0195       -322.468
         2        -0.0192       -340.251
         2        -0.0189       -359.007
         2        -0.0186        -378.78
         2        -0.0183       -399.616
         2         -0.018       -421.565
         2        -0.0177       -444.682
         2        -0.0174       -469.028
         2        -0.0171       -494.664
         2        -0.0168       -521.655
         2        -0.0165       -550.073
         2        -0.0162       -579.991
         2        -0.0159       -611.487
         2        -0.0156       -644.645
         2        -0.0153       -679.556
         2         -0.015       -716.314
         2        -0.0147        -755.02
         2        -0.0144       -795.786
         2        -0.0141       -838.735
         2        -0.0138       -884.006
         2        -0.0135       -931.742
         2        -0.0132       -982.102
         2        -0.0129       -1035.26
         2        -0.0126       -1091.41
         2        -0.0123       -1150.77
         2         -0.012       -1213.58
         2        -0.0117       -1280.09
         2        -0.0114       -1350.62
         2        -0.0111       -1425.48
         2        -0.0108       -1505.07
         2        -0.0105       -1589.84
         2        -0.0102       -1680.27
         2        -0.0099       -1776.94
         2        -0.0096        -1880.5
         2        -0.0093       -1991.72
         2         -0.009       -2111.53
         2        -0.0087       -2241.02
         2        -0.0084       -2381.49
         2        -0.0081        -2534.5
         2        -0.0078       -2701.98
         2        -0.0075       -2886.35
         2        -0.0072        -3090.7
         2        -0.0069       -3319.06
         2        -0.0066       -3576.81
         2        -0.0063       -3871.22
         2         -0.006       -4211.83
         2        -0.0057       -4607.65
         2        -0.0054          -5000
         2        -0.0051          -5000
         2        -0.0048          -5000
         2        -0.0045       -4990.91
         2        -0.0042       -4917.18
         2        -0.0039       -4848.88
