# iteration    r (m)    potential (V)
         1         -0.048              0
         1        -0.0477              0
         1        -0.0474              0
         1        -0.0471              0
         1        -0.0468              0
         1        -0.0465              0
         1        -0.0462              0
         1        -0.0459              0
         1        -0.0456              0
         1        -0.0453              0
         1         -0.045              0
         1        -0.0447              0
         1        -0.0444              0
         1        -0.0441              0
         1        -0.0438              0
         1        -0.0435              0
         1        -0.0432              0
         1        -0.0429              0
         1        -0.0426              0
         1        -0.0423              0
         1         -0.042              0
         1        -0.0417              0
         1        -0.0414              0
         1        -0.0411              0
         1        -0.0408              0
         1        -0.0405              0
         1        -0.0402              0
         1        -0.0399              0
         1        -0.0396              0
         1        -0.0393              0
         1         -0.039              0
         1        -0.0387              0
         1        -0.0384              0
         1        -0.0381              0
         1        -0.0378              0
         1        -0.0375              0
         1        -0.0372              0
         1        -0.0369              0
         1        -0.0366              0
         1        -0.0363              0
         1         -0.036              0
         1        -0.0357              0
         1        -0.0354              0
         1        -0.0351              0
         1        -0.0348              0
         1        -0.0345              0
         1        -0.0342              0
         1        -0.0339              0
         1        -0.0336              0
         1        -0.0333              0
         1         -0.033              0
         1        -0.0327              0
         1        -0.0324              0
         1        -0.0321              0
         1        -0.0318              0
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03       -3.97557
         1        -0.0297       -16.8843
         1        -0.0294       -29.9213
         1        -0.0291       -43.0996
         1        -0.0288       -56.4353
         1        -0.0285       -69.9469
         1        -0.0282       -83.6541
         1        -0.0279       -97.5782
         1        -0.0276       -111.742
         1        -0.0273       -126.168
         1         -0.027       -140.883
         1        -0.0267       -155.912
         1        -0.0264       -171.282
         1        -0.0261       -187.024
         1        -0.0258       -203.167
         1        -0.0255       -219.744
         1        -0.0252       -236.791
         1        -0.0249       -254.343
         1        -0.0246       -272.439
         1        -0.0243       -291.121
         1         -0.024       -310.433
         1        -0.0237       -330.422
         1        -0.0234       -351.136
         1        -0.0231       -372.628
         1        -0.0228       -394.953
         1        -0.0225        -418.17
         1        -0.0222       -442.339
         1        -0.0219       -467.526
         1        -0.0216       -493.799
         1        -0.0213        -521.23
         1         -0.021       -549.894
         1        -0.0207        -579.87
         1        -0.0204       -611.241
         1        -0.0201       -644.093
         1        -0.0198       -678.518
         1        -0.0195       -714.609
         1        -0.0192       -752.463
         1        -0.0189       -792.183
         1        -0.0186       -833.873
         1        -0.0183       -877.643
         1         -0.018       -923.605
         1        -0.0177       -971.877
         1        -0.0174       -1022.58
         1        -0.0171       -1075.84
         1        -0.0168        -1131.8
         1        -0.0165       -1190.58
         1        -0.0162       -1252.34
         1        -0.0159       -1317.22
         1        -0.0156        -1385.4
         1        -0.0153       -1457.04
         1         -0.015       -1532.33
         1        -0.0147       -1611.46
         1        -0.0144       -1694.66
         1        -0.0141       -1782.16
         1        -0.0138       -1874.21
         1        -0.0135       -1971.08
         1        -0.0132       -2073.09
         1        -0.0129       -2180.56
         1        -0.0126       -2293.87
         1        -0.0123       -2413.43
         1         -0.012       -2539.71
         1        -0.0117       -2673.21
         1        -0.0114       -2814.53
         1        -0.0111       -2964.31
         1        -0.0108        -3123.3
         1        -0.0105       -3292.34
         1        -0.0102       -3472.41
         1        -0.0099       -3664.61
         1        -0.0096       -3870.23
         1        -0.0093        -4090.8
         1         -0.009       -4328.07
         1        -0.0087       -4584.17
         1        -0.0084       -4861.61
         1        -0.0081       -5163.46
         1        -0.0078        -5493.5
         1        -0.0075       -5856.46
         1        -0.0072       -6258.36
         1        -0.0069       -6707.05
         1        -0.0066       -7212.99
         1        -0.0063       -7790.34
         1         -0.006       -8457.64
         1        -0.0057       -9232.45
         1        -0.0054         -10000
         1        -0.0051         -10000
         1        -0.0048         -10000
         1        -0.0045       -9983.22
         1        -0.0042       -9847.25
         1        -0.0039       -9722.17
         1        -0.0036       -9616.96
         1        -0.0033       -9531.88
         1         -0.003       -9465.06
         1        -0.0027       -9414.16
         1        -0.0024       -9376.74
         1        -0.0021       -9350.46
         1        -0.0018       -9333.07
         1        -0.0015       -9322.47
         1        -0.0012       -9316.76
         1        -0.0009       -9314.24
         1        -0.0006       -9313.52
         1        -0.0003       -9313.53
         1              0        -9313.6
         1         0.0003       -9313.52
         1         0.0006       -9313.52
         1         0.0009       -9314.24
         1         0.0012       -9316.75
         1         0.0015       -9322.45
         1         0.0018       -9333.04
         1         0.0021       -9350.42
         1         0.0024       -9376.69
         1         0.0027        -9414.1
         1          0.003       -9464.98
         1         0.0033       -9531.78
         1         0.0036       -9616.85
         1         0.0039       -9722.05
         1         0.0042       -9847.14
         1         0.0045       -9983.11
         1         0.0048         -10000
         1         0.0051         -10000
         1         0.0054         -10000
         1         0.0057        -9233.7
         1          0.006       -8458.58
         1         0.0063       -7791.26
         1         0.0066       -7213.95
         1         0.0069       -6708.05
         1         0.0072       -6259.39
         1         0.0075       -5857.54
         1         0.0078       -5494.64
         1         0.0081       -5164.67
         1         0.0084        -4862.9
         1         0.0087       -4585.56
         1          0.009       -4329.57
         1         0.0093       -4092.41
         1         0.0096       -3871.97
         1         0.0099       -3666.48
         1         0.0102       -3474.43
         1         0.0105       -3294.53
         1         0.0108       -3125.65
         1         0.0111       -2966.84
         1         0.0114       -2817.24
         1         0.0117       -2676.11
         1          0.012        -2542.8
         1         0.0123       -2416.72
         1         0.0126       -2297.36
         1         0.0129       -2184.25
         1         0.0132       -2076.98
         1         0.0135       -1975.18
         1         0.0138        -1878.5
         1         0.0141       -1786.65
         1         0.0144       -1699.34
         1         0.0147       -1616.31
         1          0.015       -1537.33
         1         0.0153       -1462.19
         1         0.0156       -1390.68
         1         0.0159       -1322.62
         1         0.0162       -1257.84
         1         0.0165       -1196.16
         1         0.0168       -1137.44
         1         0.0171       -1081.52
         1         0.0174       -1028.28
         1         0.0177        -977.57
         1          0.018       -929.275
         1         0.0183        -883.27
         1         0.0186       -839.439
         1         0.0189        -797.67
         1         0.0192       -757.854
         1         0.0195       -719.888
         1         0.0198       -683.672
         1         0.0201        -649.11
         1         0.0204       -616.109
         1         0.0207       -584.581
         1          0.021       -554.441
         1         0.0213       -525.606
         1         0.0216           -498
         1         0.0219       -471.549
         1         0.0222       -446.181
         1         0.0225        -421.83
         1         0.0228       -398.433
         1         0.0231       -375.927
         1         0.0234       -354.256
         1         0.0237       -333.366
         1          0.024       -313.203
         1         0.0243       -293.721
         1         0.0246       -274.871
         1         0.0249       -256.612
         1         0.0252         -238.9
         1         0.0255       -221.699
         1         0.0258        -204.97
         1         0.0261        -188.68
         1         0.0264       -172.795
         1         0.0267       -157.285
         1          0.027        -142.12
         1         0.0273       -127.273
         1         0.0276       -112.718
         1         0.0279       -98.4283
         1         0.0282        -84.381
         1         0.0285       -70.5533
         1         0.0288       -56.9236
         1         0.0291       -43.4718
         1         0.0294       -30.1793
         1         0.0297       -17.0297
         1           0.03        -4.0098
         1         0.0303              0
         1         0.0306              0
         1         0.0309              0
         1         0.0312              0
         1         0.0315              0
         1         0.0318              0
         1         0.0321              0
         1         0.0324              0
         1         0.0327              0
         1          0.033              0
         1         0.0333              0
         1         0.0336              0
         1         0.0339              0
         1         0.0342              0
         1         0.0345              0
         1         0.0348              0
         1         0.0351              0
         1         0.0354              0
         1         0.0357              0
         1          0.036              0
         1         0.0363              0
         1         0.0366              0
         1         0.0369              0
         1         0.0372              0
         1         0.0375              0
         1         0.0378              0
         1         0.0381              0
         1         0.0384              0
         1         0.0387              0
         1          0.039              0
         1         0.0393              0
         1         0.0396              0
         1         0.0399              0
         1         0.0402              0
         1         0.0405              0
         1         0.0408              0
         1         0.0411              0
         1         0.0414              0
         1         0.0417              0
         1          0.042              0
         1         0.0423              0
         1         0.0426              0
         1         0.0429              0
         1         0.0432              0
         1         0.0435              0
         1         0.0438              0
         1         0.0441              0
         1         0.0444              0
         1         0.0447              0
         1          0.045              0
         1         0.0453              0
         1         0.0456              0
         1         0.0459              0
         1         0.0462              0
         1         0.0465              0
         1         0.0468              0
         1         0.0471              0
         1         0.0474              0
         1         0.0477              0
         2         -0.048              0
         2        -0.0477              0
         2        -0.0474              0
         2        -0.0471              0
         2        -0.0468              0
         2        -0.0465              0
         2        -0.0462              0
         2        -0.0459              0
         2        -0.0456              0
         2        -0.0453              0
         2         -0.045              0
         2        -0.0447              0
         2        -0.0444              0
         2        -0.0441              0
         2        -0.0438              0
         2        -0.0435              0
         2        -0.0432              0
         2        -0.0429              0
         2        -0.0426              0
         2        -0.0423              0
         2         -0.042              0
         2        -0.0417              0
         2        -0.0414              0
         2        -0.0411              0
         2        -0.0408              0
         2        -0.0405              0
         2        -0.0402              0
         2        -0.0399              0
         2        -0.0396              0
         2        -0.0393              0
         2         -0.039              0
         2        -0.0387              0
         2        -0.0384              0
         2        -0.0381              0
         2        -0.0378              0
         2        -0.0375              0
         2        -0.0372              0
         2        -0.0369              0
         2        -0.0366              0
         2        -0.0363              0
         2         -0.036              0
         2        -0.0357              0
         2        -0.0354              0
         2        -0.0351              0
         2        -0.0348              0
         2        -0.0345              0
         2        -0.0342              0
         2        -0.0339              0
         2        -0.0336              0
         2        -0.0333              0
         2         -0.033              0
         2        -0.0327              0
         2        -0.0324              0
         2        -0.0321              0
         2        -0.0318              0
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03       -3.97557
         2        -0.0297       -16.8843
         2        -0.0294       -29.9213
         2        -0.0291       -43.0996
         2        -0.0288       -56.4353
         2        -0.0285       -69.9469
         2        -0.0282       -83.6541
         2        -0.0279       -97.5782
         2        -0.0276       -111.742
         2        -0.0273       -126.168
         2         -0.027       -140.883
         2        -0.0267       -155.912
         2        -0.0264       -171.282
         2        -0.0261       -187.024
         2        -0.0258       -203.167
         2        -0.0255       -219.744
         2        -0.0252       -236.791
         2        -0.0249       -254.343
         2        -0.0246       -272.439
         2        -0.0243       -291.121
         2         -0.024       -310.433
         2        -0.0237       -330.422
         2        -0.0234       -351.136
         2        -0.0231       -372.628
         2        -0.0228       -394.953
         2        -0.0225        -418.17
         2        -0.0222       -442.339
         2        -0.0219       -467.526
         2        -0.0216       -493.799
         2        -0.0213        -521.23
         2         -0.021       -549.894
         2        -0.0207        -579.87
         2        -0.0204       -611.241
         2        -0.0201       -644.093
         2        -0.0198       -678.518
         2        -0.0195       -714.609
         2        -0.0192       -752.463
         2        -0.0189       -792.183
         2        -0.0186       -833.873
         2        -0.0183       -877.643
         2         -0.018       -923.605
         2        -0.0177       -971.877
         2        -0.0174       -1022.58
         2        -0.0171       -1075.84
         2        -0.0168        -1131.8
         2        -0.0165       -1190.58
         2        -0.0162       -1252.34
         2        -0.0159       -1317.22
         2        -0.0156        -1385.4
         2        -0.0153       -1457.04
         2         -0.015       -1532.33
         2        -0.0147       -1611.46
         2        -0.0144       -1694.66
         2        -0.0141       -1782.16
         2        -0.0138       -1874.21
         2        -0.0135       -1971.08
         2        -0.0132       -2073.09
         2        -0.0129       -2180.56
         2        -0.0126       -2293.87
         2        -0.0123       -2413.43
         2         -0.012       -2539.71
         2        -0.0117       -2673.21
         2        -0.0114       -2814.53
         2        -0.0111       -2964.31
         2        -0.0108        -3123.3
         2        -0.0105       -3292.34
         2        -0.0102       -3472.41
         2        -0.0099       -3664.61
         2        -0.0096       -3870.23
         2        -0.0093        -4090.8
         2         -0.009       -4328.07
         2        -0.0087       -4584.17
         2        -0.0084       -4861.61
         2        -0.0081       -5163.46
         2        -0.0078        -5493.5
         2        -0.0075       -5856.46
         2        -0.0072       -6258.36
         2        -0.0069       -6707.05
         2        -0.0066       -7212.99
         2        -0.0063       -7790.34
         2         -0.006       -8457.64
         2        -0.0057       -9232.45
         2        -0.0054         -10000
         2        -0.0051         -10000
         2        -0.0048         -10000
         2        -0.0045       -9983.22
