# iteration    r (m)    potential (V)
         1        -0.0315       -36.9298
         1        -0.0312        -36.948
         1        -0.0309       -37.0027
         1        -0.0306       -37.0941
         1        -0.0303       -37.2225
         1          -0.03       -37.3882
         1        -0.0297       -37.5917
         1        -0.0294       -37.8335
         1        -0.0291       -38.1145
         1        -0.0288       -38.4354
         1        -0.0285       -38.7972
         1        -0.0282       -39.2009
         1        -0.0279       -39.6478
         1        -0.0276       -40.1393
         1        -0.0273       -40.6768
         1         -0.027        -41.262
         1        -0.0267       -41.8967
         1        -0.0264       -42.5829
         1        -0.0261       -43.3228
         1        -0.0258       -44.1188
         1        -0.0255       -44.9735
         1        -0.0252       -45.8896
         1        -0.0249       -46.8701
         1        -0.0246       -47.9184
         1        -0.0243       -49.0378
         1         -0.024       -50.2323
         1        -0.0237       -51.5058
         1        -0.0234       -52.8628
         1        -0.0231       -54.3078
         1        -0.0228       -55.8459
         1        -0.0225       -57.4823
         1        -0.0222       -59.2226
         1        -0.0219        -61.073
         1        -0.0216       -63.0396
         1        -0.0213       -65.1293
         1         -0.021       -67.3491
         1        -0.0207       -69.7064
         1        -0.0204       -72.2091
         1        -0.0201       -74.8654
         1        -0.0198       -77.6838
         1        -0.0195       -80.6734
         1        -0.0192       -83.8433
         1        -0.0189       -87.2034
         1        -0.0186       -90.7636
         1        -0.0183       -94.5345
         1         -0.018       -98.5268
         1        -0.0177       -102.752
         1        -0.0174       -107.221
         1        -0.0171       -111.947
         1        -0.0168       -116.943
         1        -0.0165       -122.221
         1        -0.0162       -127.795
         1        -0.0159       -133.679
         1        -0.0156        -139.89
         1        -0.0153       -146.444
         1         -0.015       -153.357
         1        -0.0147       -160.649
         1        -0.0144       -168.339
         1        -0.0141        -176.45
         1        -0.0138       -185.003
         1        -0.0135       -194.026
         1        -0.0132       -203.546
         1        -0.0129       -213.593
         1        -0.0126       -224.203
         1        -0.0123       -235.412
         1         -0.012       -247.263
         1        -0.0117       -259.802
         1        -0.0114       -273.083
         1        -0.0111       -287.163
         1        -0.0108       -302.111
         1        -0.0105       -318.001
         1        -0.0102        -334.92
         1        -0.0099       -352.968
         1        -0.0096       -372.259
         1        -0.0093       -392.926
         1         -0.009       -415.124
         1        -0.0087       -439.037
         1        -0.0084       -464.882
         1        -0.0081       -492.922
         1        -0.0078       -523.477
         1        -0.0075       -556.942
         1        -0.0072       -593.815
         1        -0.0069       -634.733
         1        -0.0066       -680.541
         1        -0.0063       -732.383
         1         -0.006       -791.899
         1        -0.0057       -861.601
         1        -0.0054       -946.001
         1        -0.0051          -1000
         1        -0.0048          -1000
         1        -0.0045          -1000
         1        -0.0042       -997.787
         1        -0.0039        -983.23
         1        -0.0036       -970.822
         1        -0.0033       -960.558
         1         -0.003       -952.305
         1        -0.0027       -945.851
         1        -0.0024       -940.952
         1        -0.0021       -937.366
         1        -0.0018       -934.859
         1        -0.0015       -933.209
         1        -0.0012       -932.209
         1        -0.0009       -931.673
         1        -0.0006       -931.436
         1        -0.0003       -931.365
         1              0       -931.361
         1         0.0003       -931.364
         1         0.0006        -931.36
         1         0.0009       -931.379
         1         0.0012       -931.493
         1         0.0015       -931.813
         1         0.0018       -932.484
         1         0.0021       -933.678
         1         0.0024       -935.589
         1         0.0027       -938.428
         1          0.003       -942.422
         1         0.0033       -947.807
         1         0.0036       -954.827
         1         0.0039       -963.717
         1         0.0042        -974.67
         1         0.0045       -987.778
         1         0.0048          -1000
         1         0.0051          -1000
         1         0.0054          -1000
         1         0.0057          -1000
         1          0.006       -916.459
         1         0.0063       -837.484
         1         0.0066       -771.399
         1         0.0069       -714.584
         1         0.0072       -664.862
         1         0.0075       -620.772
         1         0.0078       -581.274
